origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
BMI|G4|350|27.3686|24.1514|0.0229|10.476|16.8926|4
BNA|YX|8480|3.0275|0.4396|0.0086|11.3794|-8.3519|1
BNA|DL|12549|4.4024|-1.6875|0.0055|11.3794|-6.977|2
BNA|AS|1790|8.1849|-1.1715|0.0078|11.3794|-3.1945|3
BNA|G4|4489|10.5409|4.9554|0.0138|11.3794|-0.8385|4
BNA|WN|76346|10.9824|3.7842|0.006|11.3794|-0.397|5
BNA|UA|9352|11.4726|6.6414|0.0135|11.3794|0.0932|6
BNA|MQ|3886|12.0584|9.6101|0.0203|11.3794|0.679|7
BNA|OH|3570|12.6132|10.1563|0.0126|11.3794|1.2338|8
BNA|OO|6158|13.791|9.6155|0.0127|11.3794|2.4116|9
BNA|B6|1988|14.8305|8.3737|0.0156|11.3794|3.4511|10
BNA|F9|1161|16.3979|15.95|0.0207|11.3794|5.0185|11
BNA|NK|5695|17.9189|9.2288|0.0274|11.3794|6.5395|12
BNA|9E|1748|19.2878|15.9142|0.0286|11.3794|7.9084|13
BNA|AA|12445|20.3515|18.2452|0.0153|11.3794|8.9721|14
BOI|OO|16871|5.0092|3.1238|0.0028|6.6932|-1.684|1
BOI|AS|909|5.0935|4.2651|0.0055|6.6932|-1.5997|2
BOI|UA|1985|6.1647|1.3315|0.0207|6.6932|-0.5285|3
BOI|MQ|394|6.3249|2.8731|0.0051|6.6932|-0.3683|4
BOI|WN|7116|6.7081|0.292|0.003|6.6932|0.0149|5
BOI|NK|825|8.1176|3.8848|0.0158|6.6932|1.4244|6
BOI|DL|4077|9.0172|3.4528|0.0061|6.6932|2.324|7
BOI|AA|1328|11.7229|6.2485|0.0158|6.6932|5.0297|8
BOI|G4|522|32.7874|31.3774|0.0057|6.6932|26.0942|9
BOS|9E|13|-3.5385|-17.0769|0.0769|11.9074|-15.4459|1
BOS|YX|39437|4.0077|-1.2026|0.011|11.9074|-7.8997|2
BOS|G4|763|4.0446|-3.2018|0.0301|11.9074|-7.8628|3
BOS|UA|18546|9.9802|2.2308|0.0134|11.9074|-1.9272|4
BOS|AS|3885|11.1629|4.3593|0.0162|11.9074|-0.7445|5
BOS|DL|38406|12.2608|2.4839|0.0072|11.9074|0.3534|6
BOS|WN|9962|13.0531|3.3686|0.0071|11.9074|1.1457|7
BOS|OO|3|13.3333|20.6667|0.0|11.9074|1.4259|8
BOS|MQ|2919|13.3467|5.6184|0.0158|11.9074|1.4393|9
BOS|AA|25600|14.062|3.9386|0.0094|11.9074|2.1546|10
BOS|B6|61552|14.5222|7.5454|0.0109|11.9074|2.6148|11
BOS|HA|322|14.6304|12.5932|0.0093|11.9074|2.723|12
BOS|F9|2251|18.0426|13.9862|0.0249|11.9074|6.1352|13
BOS|NK|10569|21.0277|12.4854|0.0318|11.9074|9.1203|14
BPT|OO|814|5.5909|0.6167|0.0172|9.0746|-3.4837|1
BPT|MQ|299|18.5585|14.2609|0.0167|9.0746|9.4839|2
BQK|9E|223|15.0538|16.6951|0.0|15.2194|-0.1656|1
BQK|OO|1003|15.2562|16.9182|0.004|15.2194|0.0368|2
BQN|B6|2315|15.2104|11.0994|0.0147|17.0678|-1.8574|1
BQN|F9|730|17.8904|6.6726|0.0082|17.0678|0.8226|2
BQN|UA|537|23.9572|15.3557|0.0335|17.0678|6.8894|3
BRD|OO|985|5.4782|-0.1503|0.0041|5.4782|0.0|1
BRO|MQ|1835|5.885|3.9368|0.0158|9.7833|-3.8983|1
BRO|OO|1072|16.4562|12.5951|0.0233|9.7833|6.6729|2
BRW|AS|562|10.1014|11.6584|0.0498|10.1014|0.0|1
BTM|OO|1027|-5.1967|-14.2084|0.0|-5.1967|0.0|1
BTR|9E|739|8.7009|4.6089|0.0217|13.1792|-4.4783|1
BTR|DL|1369|8.9291|1.8196|0.0058|13.1792|-4.2501|2
BTR|MQ|1488|13.7292|11.2278|0.0181|13.1792|0.55|3
BTR|OH|2887|15.3737|11.3595|0.0152|13.1792|2.1945|4
