origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ADQ|1|medium|8|30.63|27.75
ADQ|1|unknown|3||
ADQ|2|high|3|134.33|126.33
ADQ|2|low|50|-10.08|-13.96
ADQ|2|medium|5|33.8|28.6
ADQ|3|high|5|164.0|161.8
ADQ|3|low|47|-11.47|-14.83
ADQ|3|medium|7|26.86|22.43
ADQ|3|unknown|1||
ADQ|4|high|2|168.5|165.0
ADQ|4|low|46|-11.63|-15.59
ADQ|4|medium|8|39.38|33.5
ADQ|4|unknown|2||
ADQ|5|high|2|62.5|52.5
ADQ|5|low|66|-9.06|-10.79
ADQ|5|medium|4|42.0|40.25
ADQ|6|high|2|76.5|74.5
ADQ|6|low|66|-12.14|-11.8
ADQ|6|medium|5|36.2|31.8
ADQ|6|unknown|3||
ADQ|7|high|6|210.0|212.0
ADQ|7|low|66|-7.03|-6.95
ADQ|7|medium|6|24.67|19.0
ADQ|7|unknown|1||
ADQ|8|high|3|100.0|100.0
ADQ|8|low|73|-8.38|-8.67
ADQ|8|medium|8|27.38|24.25
ADQ|8|unknown|2||
ADQ|9|high|1|87.0|89.0
ADQ|9|low|85|-12.53|-11.36
ADQ|9|medium|3|43.0|47.67
ADQ|10|high|3|130.33|131.67
ADQ|10|low|51|-5.84|-7.24
ADQ|10|medium|7|31.43|32.29
ADQ|10|unknown|1||
ADQ|11|high|3|358.67|357.33
ADQ|11|low|41|-4.68|-2.56
ADQ|11|medium|13|27.46|28.31
ADQ|11|unknown|1||
ADQ|12|high|3|169.67|174.67
ADQ|12|low|52|-7.15|-9.4
ADQ|12|medium|3|30.0|29.67
ADQ|12|unknown|3||
AEX|1|high|16|249.38|259.19
AEX|1|low|114|-4.89|-4.67
AEX|1|medium|16|38.5|32.44
AEX|1|unknown|7||
AEX|2|high|6|239.67|234.67
AEX|2|low|129|-6.29|-10.56
AEX|2|medium|8|33.63|37.75
AEX|2|unknown|1||
AEX|3|high|8|165.25|153.88
AEX|3|low|137|-4.73|-10.62
AEX|3|medium|7|34.86|41.43
AEX|3|unknown|3||
AEX|4|high|18|266.72|284.56
AEX|4|low|118|-5.62|-8.43
AEX|4|medium|10|35.1|33.8
AEX|4|unknown|3||
AEX|5|high|23|169.96|166.96
AEX|5|low|116|-4.52|-5.84
AEX|5|medium|9|27.56|33.67
AEX|5|unknown|5||
AEX|6|high|13|231.23|227.17
AEX|6|low|144|-4.78|-10.49
AEX|6|medium|11|26.18|17.18
AEX|6|unknown|1||
AEX|7|high|23|217.39|214.74
AEX|7|low|129|-4.67|-9.91
AEX|7|medium|19|29.95|25.21
AEX|7|unknown|4||
AEX|8|high|15|158.0|148.2
AEX|8|low|154|-5.45|-12.08
AEX|8|medium|7|29.14|24.71
AEX|8|unknown|1||
AEX|9|high|15|165.2|160.87
AEX|9|low|139|-4.23|-7.91
AEX|9|medium|16|29.94|29.88
AEX|10|high|21|176.19|163.81
AEX|10|low|141|-6.7|-15.45
AEX|10|medium|14|34.14|26.5
AEX|11|high|15|172.73|165.6
AEX|11|low|139|-5.65|-11.5
AEX|11|medium|12|28.5|20.17
AEX|11|unknown|2||
AEX|12|high|6|274.33|262.0
AEX|12|low|140|-4.34|-10.91
AEX|12|medium|17|31.18|32.76
AEX|12|unknown|2||
AGS|1|high|47|178.3|173.43
AGS|1|low|164|-2.61|-7.18
AGS|1|medium|32|29.97|29.0
AGS|1|unknown|4||
AGS|2|high|20|144.1|134.65
AGS|2|low|193|-3.49|-13.11
AGS|2|medium|24|30.96|21.92
AGS|3|high|19|176.74|170.47
AGS|3|low|213|-3.83|-8.35
AGS|3|medium|17|28.0|26.82
AGS|3|unknown|2||
AGS|4|high|32|100.84|101.16
AGS|4|low|377|-3.01|-5.85
AGS|4|medium|75|30.84|27.65
AGS|4|unknown|1||
AGS|5|high|33|174.27|177.41
AGS|5|low|246|-3.7|-7.43
AGS|5|medium|28|33.0|30.68
AGS|5|unknown|2||
AGS|6|high|21|127.38|124.81
AGS|6|low|315|-4.8|-9.41
AGS|6|medium|29|28.45|23.38
AGS|7|high|60|171.17|171.05
AGS|7|low|261|-3.54|-5.37
AGS|7|medium|39|33.69|27.31
AGS|7|unknown|15||
AGS|8|high|26|183.58|177.15
AGS|8|low|293|-4.67|-8.53
AGS|8|medium|32|33.53|26.81
AGS|8|unknown|5||
AGS|9|high|38|179.95|177.74
AGS|9|low|303|-4.68|-7.4
AGS|9|medium|29|33.21|34.0
AGS|9|unknown|18||
AGS|10|high|44|169.02|169.02
AGS|10|low|263|-3.76|-8.66
AGS|10|medium|32|28.94|23.97
AGS|10|unknown|2||
AGS|11|high|14|134.36|130.64
AGS|11|low|281|-2.85|-7.11
AGS|11|medium|27|24.41|21.33
AGS|11|unknown|1||
AGS|12|high|38|190.87|182.05
AGS|12|low|215|-1.42|-7.24
AGS|12|medium|39|30.92|23.69
AGS|12|unknown|3||
AKN|4|low|7|-28.0|-27.0
AKN|5|low|20|-16.3|-15.11
AKN|5|medium|2|25.0|13.0
AKN|6|low|34|-11.91|-8.59
AKN|6|medium|2|23.0|24.5
AKN|7|high|2|80.0|81.0
AKN|7|low|38|-6.18|-0.29
AKN|7|medium|6|33.33|41.5
AKN|8|low|31|-11.74|-9.48
AKN|8|medium|6|18.33|20.33
AKN|9|low|24|-15.67|-12.21
AKN|9|medium|6|31.83|30.0
ALB|1|high|61|139.36|143.87
ALB|1|low|667|-3.58|-9.56
ALB|1|medium|111|28.23|28.25
ALB|1|unknown|19||
ALB|2|high|35|143.74|134.97
ALB|2|low|764|-3.65|-16.75
ALB|2|medium|80|29.84|18.65
ALB|2|unknown|2||
ALB|3|high|70|179.76|180.82
ALB|3|low|811|-2.98|-11.74
ALB|3|medium|131|30.56|25.06
ALB|3|unknown|16||
ALB|4|high|58|246.76|242.57
ALB|4|low|827|-3.81|-11.07
ALB|4|medium|112|29.99|23.83
ALB|4|unknown|1||
ALB|5|high|72|135.88|131.26
ALB|5|low|798|-3.63|-10.0
ALB|5|medium|137|30.73|22.43
ALB|5|unknown|7||
ALB|6|high|84|186.38|172.11
ALB|6|low|802|-3.56|-9.84
ALB|6|medium|135|31.12|23.08
ALB|6|unknown|13||
ALB|7|high|141|159.25|162.76
ALB|7|low|716|-2.54|-6.88
ALB|7|medium|161|32.97|30.29
ALB|7|unknown|34||
ALB|8|high|102|169.4|172.08
ALB|8|low|808|-2.84|-7.68
ALB|8|medium|152|30.28|29.71
ALB|8|unknown|17||
ALB|9|high|32|187.31|186.39
ALB|9|low|915|-4.96|-10.51
ALB|9|medium|95|29.71|24.32
ALB|9|unknown|4||
ALB|10|high|29|177.41|168.86
ALB|10|low|927|-4.1|-12.65
ALB|10|medium|118|27.42|16.56
ALB|10|unknown|13||
ALB|11|high|32|165.88|153.88
ALB|11|low|847|-4.4|-15.36
ALB|11|medium|69|28.45|17.78
ALB|11|unknown|1||
ALB|12|high|99|203.48|199.54
ALB|12|low|736|-2.87|-8.12
ALB|12|medium|142|32.01|25.6
ALB|12|unknown|3||
ALW|1|high|4|172.25|187.25
ALW|1|low|42|-5.07|6.52
ALW|1|medium|3|39.0|47.0
ALW|1|unknown|11||
ALW|2|high|2|96.0|95.0
ALW|2|low|52|-6.77|-0.15
ALW|2|medium|1|49.0|75.0
ALW|2|unknown|3||
ALW|3|high|1|63.0|80.0
ALW|3|low|60|-7.17|-4.13
ALW|3|medium|1|44.0|44.0
ALW|4|high|1|78.0|74.0
ALW|4|low|59|-6.41|-4.75
ALW|5|low|57|-5.23|-6.0
ALW|5|medium|3|20.67|20.67
ALW|6|high|4|92.0|95.5
ALW|6|low|52|-3.56|-3.94
ALW|6|medium|3|37.33|33.33
ALW|6|unknown|1||
ALW|7|low|50|-3.84|-5.88
ALW|7|medium|10|24.9|25.2
ALW|8|high|2|94.0|102.5
ALW|8|low|53|-6.13|-5.77
ALW|8|medium|6|28.17|31.83
ALW|8|unknown|1||
ALW|9|high|2|91.0|90.5
ALW|9|low|52|-5.92|-1.92
ALW|9|medium|6|37.17|44.0
AMA|1|high|30|173.9|168.53
AMA|1|low|308|-4.44|-6.51
AMA|1|medium|40|31.1|30.95
AMA|1|unknown|15||
AMA|2|high|9|104.44|91.0
AMA|2|low|354|-5.75|-10.17
AMA|2|medium|29|32.83|31.48
AMA|2|unknown|1||
AMA|3|high|24|139.46|139.29
AMA|3|low|362|-5.31|-9.08
AMA|3|medium|33|33.12|32.15
AMA|3|unknown|3||
AMA|4|high|26|147.38|155.54
AMA|4|low|302|-4.25|-8.43
AMA|4|medium|29|33.1|30.28
AMA|4|unknown|2||
AMA|5|high|51|156.24|158.06
AMA|5|low|296|-3.79|-7.64
AMA|5|medium|58|34.5|32.4
AMA|5|unknown|12||
AMA|6|high|39|179.9|177.28
AMA|6|low|341|-3.98|-9.09
AMA|6|medium|60|30.65|27.45
AMA|6|unknown|5||
AMA|7|high|30|140.8|137.27
AMA|7|low|360|-3.7|-8.13
AMA|7|medium|71|33.72|29.18
AMA|7|unknown|2||
AMA|8|high|26|150.12|145.69
AMA|8|low|379|-5.2|-9.27
AMA|8|medium|50|34.28|32.46
AMA|8|unknown|2||
AMA|9|high|21|125.33|126.38
AMA|9|low|373|-4.77|-5.68
AMA|9|medium|29|32.45|33.83
AMA|10|high|13|140.0|129.85
AMA|10|low|405|-4.72|-8.88
AMA|10|medium|42|33.93|28.1
AMA|10|unknown|1||
AMA|11|high|20|153.35|149.65
AMA|11|low|342|-3.97|-8.64
AMA|11|medium|35|31.54|26.89
AMA|11|unknown|6||
AMA|12|high|30|160.9|161.47
AMA|12|low|354|-4.02|-10.37
AMA|12|medium|33|34.27|25.15
AMA|12|unknown|2||
ANC|1|high|102|134.32|135.0
ANC|1|low|759|-3.81|-8.65
ANC|1|medium|166|32.55|25.76
ANC|1|unknown|74||
ANC|2|high|41|211.41|207.12
ANC|2|low|925|-5.72|-8.18
ANC|2|medium|96|29.7|24.05
ANC|2|unknown|4||
ANC|3|high|78|140.96|137.07
ANC|3|low|1061|-5.25|-9.6
ANC|3|medium|152|30.83|24.66
ANC|3|unknown|9||
