origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ACY|6|high|3|97.33|108.33|late_aircraft|weather|nas
ACY|6|low|14|-4.43|-14.43|late_aircraft|weather|nas
ACY|6|medium|2|27.0|14.5|late_aircraft|weather|nas
ACY|7|high|4|195.75|186.0|late_aircraft|carrier|nas
ACY|7|low|20|-2.85|-16.4|late_aircraft|carrier|nas
ACY|7|medium|4|43.0|25.75|late_aircraft|carrier|nas
ACY|8|high|3|123.0|118.0|nas|carrier|late_aircraft
ACY|8|low|16|-4.5|-8.25|nas|carrier|late_aircraft
ACY|8|medium|5|28.6|24.2|nas|carrier|late_aircraft
ACY|9|low|22|-3.77|-11.14|nas|weather|none
ACY|9|medium|2|37.5|33.0|nas|weather|none
ACY|10|high|2|115.0|109.5|late_aircraft|carrier|nas
ACY|10|low|15|-5.27|-17.33|late_aircraft|carrier|nas
ACY|10|medium|2|52.5|42.5|late_aircraft|carrier|nas
ACY|11|low|22|-7.36|-22.23|late_aircraft|nas|none
ACY|11|medium|4|42.5|26.5|late_aircraft|nas|none
ACY|12|high|2|98.5|88.0|carrier|nas|none
ACY|12|low|11|-8.36|-18.18|carrier|nas|none
ACY|12|medium|1|35.0|28.0|carrier|nas|none
ADK|3|low|1|-25.0|-27.0|none|none|none
ADK|5|low|1|-26.0|-26.0|none|none|none
ADK|6|low|1|2.0|-3.0|none|none|none
ADK|7|low|1|-6.0|6.0|none|none|none
ADK|8|low|1|14.0|13.0|security|none|none
ADK|8|medium|2|49.0|33.5|security|none|none
ADK|12|low|2|-29.5|-27.0|none|none|none
ADQ|1|low|3|-5.0|-7.67|late_aircraft|weather|nas
ADQ|1|medium|1|17.0|19.0|late_aircraft|weather|nas
ADQ|2|low|8|-5.75|-3.38|nas|none|none
ADQ|3|high|1|91.0|83.0|late_aircraft|nas|none
ADQ|3|low|4|-6.25|-11.25|late_aircraft|nas|none
ADQ|3|medium|1|16.0|23.0|late_aircraft|nas|none
ADQ|4|low|2|-4.0|-4.0|none|none|none
ADQ|5|low|4|-7.5|-12.25|none|none|none
ADQ|6|low|7|-13.0|-15.43|none|none|none
ADQ|6|medium|1|15.0|10.0|none|none|none
ADQ|7|high|1|174.0|180.0|carrier|nas|none
ADQ|7|low|3|-9.67|-15.33|carrier|nas|none
ADQ|8|low|9|-6.33|-9.22|none|none|none
ADQ|9|low|7|-8.0|-5.86|late_aircraft|nas|none
ADQ|9|medium|1|41.0|45.0|late_aircraft|nas|none
ADQ|10|low|1|7.0|6.0|late_aircraft|carrier|nas
ADQ|10|medium|2|27.5|28.0|late_aircraft|carrier|nas
ADQ|11|low|5|-2.0|-0.6|none|none|none
ADQ|12|high|1|160.0|155.0|late_aircraft|nas|none
ADQ|12|low|6|-2.33|-5.17|late_aircraft|nas|none
AEX|1|high|1|67.0|50.0|weather|late_aircraft|carrier
AEX|1|low|9|-3.89|-7.56|weather|late_aircraft|carrier
AEX|1|medium|3|38.0|30.0|weather|late_aircraft|carrier
AEX|2|low|12|-7.17|-15.67|carrier|late_aircraft|nas
AEX|2|medium|3|29.67|21.67|carrier|late_aircraft|nas
AEX|3|high|2|204.5|213.0|weather|carrier|nas
AEX|3|low|12|-5.42|-10.08|weather|carrier|nas
AEX|3|medium|1|41.0|26.0|weather|carrier|nas
AEX|4|high|4|376.0|376.25|carrier|weather|late_aircraft
AEX|4|low|12|-5.33|-7.33|carrier|weather|late_aircraft
AEX|4|medium|1|39.0|35.0|carrier|weather|late_aircraft
AEX|5|high|2|125.0|124.0|weather|carrier|nas
AEX|5|low|15|-3.33|-6.53|weather|carrier|nas
AEX|6|low|16|-5.31|-12.69|none|none|none
AEX|6|medium|1|17.0|4.0|none|none|none
AEX|7|high|2|110.0|108.0|carrier|nas|none
AEX|7|low|13|-6.08|-11.54|carrier|nas|none
AEX|7|medium|1|22.0|7.0|carrier|nas|none
AEX|8|high|2|155.5|146.0|carrier|late_aircraft|none
AEX|8|low|24|-5.17|-12.33|carrier|late_aircraft|none
AEX|9|high|1|81.0|83.0|carrier|nas|none
AEX|9|low|15|-4.07|-11.93|carrier|nas|none
AEX|9|medium|1|28.0|7.0|carrier|nas|none
AEX|10|high|3|113.0|95.33|late_aircraft|carrier|nas
AEX|10|low|16|-5.44|-6.56|late_aircraft|carrier|nas
AEX|10|medium|1|19.0|15.0|late_aircraft|carrier|nas
AEX|11|high|2|113.0|98.5|weather|late_aircraft|carrier
AEX|11|low|13|-6.69|-16.15|weather|late_aircraft|carrier
AEX|11|medium|1|27.0|20.0|weather|late_aircraft|carrier
AEX|12|low|13|-6.15|-21.77|late_aircraft|none|none
AEX|12|medium|4|21.0|10.25|late_aircraft|none|none
AGS|1|high|3|110.0|110.33|late_aircraft|nas|carrier
AGS|1|low|19|-0.95|-2.11|late_aircraft|nas|carrier
AGS|1|medium|2|35.5|34.5|late_aircraft|nas|carrier
AGS|2|high|5|138.8|127.6|late_aircraft|carrier|weather
AGS|2|low|19|-3.89|-13.21|late_aircraft|carrier|weather
AGS|2|medium|3|30.0|17.67|late_aircraft|carrier|weather
AGS|3|high|2|72.5|57.5|late_aircraft|nas|carrier
AGS|3|low|25|-3.28|-4.64|late_aircraft|nas|carrier
AGS|3|medium|1|44.0|44.0|late_aircraft|nas|carrier
AGS|4|high|1|65.0|47.0|late_aircraft|nas|carrier
AGS|4|low|29|-3.86|-5.76|late_aircraft|nas|carrier
AGS|4|medium|7|31.71|18.14|late_aircraft|nas|carrier
AGS|5|high|2|132.5|175.5|carrier|late_aircraft|nas
AGS|5|low|27|-1.26|-7.41|carrier|late_aircraft|nas
AGS|5|medium|3|37.0|29.67|carrier|late_aircraft|nas
AGS|6|high|3|72.33|84.0|nas|late_aircraft|carrier
AGS|6|low|22|-4.64|-10.14|nas|late_aircraft|carrier
AGS|6|medium|3|31.0|26.67|nas|late_aircraft|carrier
AGS|7|high|9|218.22|217.78|carrier|late_aircraft|nas
AGS|7|low|28|-4.82|-2.04|carrier|late_aircraft|nas
AGS|7|medium|3|22.0|18.67|carrier|late_aircraft|nas
AGS|8|high|5|249.6|242.2|weather|carrier|late_aircraft
AGS|8|low|20|-4.05|-9.4|weather|carrier|late_aircraft
AGS|8|medium|4|35.75|31.5|weather|carrier|late_aircraft
AGS|9|high|10|173.4|165.8|late_aircraft|carrier|weather
AGS|9|low|39|-4.1|-9.0|late_aircraft|carrier|weather
AGS|9|medium|4|46.75|49.5|late_aircraft|carrier|weather
AGS|10|high|5|168.8|160.4|weather|carrier|late_aircraft
AGS|10|low|22|-4.55|-8.41|weather|carrier|late_aircraft
AGS|10|medium|5|39.2|26.0|weather|carrier|late_aircraft
AGS|11|high|4|123.75|118.75|carrier|weather|nas
AGS|11|low|38|-1.42|-5.82|carrier|weather|nas
AGS|11|medium|3|19.33|7.0|carrier|weather|nas
AGS|12|high|5|203.2|199.6|carrier|late_aircraft|weather
AGS|12|low|22|-1.55|-14.55|carrier|late_aircraft|weather
AGS|12|medium|3|20.67|9.67|carrier|late_aircraft|weather
AKN|4|low|1|-41.0|-34.0|none|none|none
AKN|5|low|1|-27.0|-20.0|none|none|none
AKN|5|medium|1|26.0|11.0|none|none|none
AKN|6|low|6|-6.5|-6.67|late_aircraft|nas|none
AKN|6|medium|1|24.0|28.0|late_aircraft|nas|none
AKN|7|high|1|78.0|87.0|late_aircraft|nas|security
AKN|7|low|2|-13.0|-4.5|late_aircraft|nas|security
AKN|7|medium|1|20.0|23.0|late_aircraft|nas|security
AKN|8|low|1|-12.0|7.0|none|none|none
ALB|1|high|3|120.0|112.33|weather|late_aircraft|nas
ALB|1|low|62|-3.97|-11.27|weather|late_aircraft|nas
ALB|1|medium|21|26.05|27.14|weather|late_aircraft|nas
ALB|2|high|3|243.0|214.33|late_aircraft|carrier|nas
ALB|2|low|91|-4.03|-16.16|late_aircraft|carrier|nas
ALB|2|medium|12|29.92|23.42|late_aircraft|carrier|nas
ALB|3|high|5|308.0|314.2|weather|nas|late_aircraft
ALB|3|low|94|-2.73|-15.2|weather|nas|late_aircraft
ALB|3|medium|16|30.44|23.81|weather|nas|late_aircraft
ALB|4|high|2|267.0|263.0|carrier|nas|late_aircraft
ALB|4|low|84|-3.62|-11.38|carrier|nas|late_aircraft
ALB|4|medium|13|33.85|28.0|carrier|nas|late_aircraft
ALB|5|high|4|158.5|169.25|weather|nas|late_aircraft
ALB|5|low|72|-4.49|-11.76|weather|nas|late_aircraft
ALB|5|medium|15|33.73|26.2|weather|nas|late_aircraft
ALB|6|high|6|297.17|110.67|weather|late_aircraft|nas
ALB|6|low|91|-3.8|-10.78|weather|late_aircraft|nas
ALB|6|medium|11|27.55|20.45|weather|late_aircraft|nas
ALB|7|high|12|218.08|219.83|late_aircraft|carrier|nas
ALB|7|low|72|-2.58|-2.35|late_aircraft|carrier|nas
ALB|7|medium|15|34.47|29.0|late_aircraft|carrier|nas
ALB|8|high|10|205.4|206.6|carrier|late_aircraft|weather
ALB|8|low|91|-3.18|-9.0|carrier|late_aircraft|weather
ALB|8|medium|19|32.79|32.79|carrier|late_aircraft|weather
ALB|9|high|2|364.5|353.0|late_aircraft|carrier|nas
ALB|9|low|86|-5.14|-11.06|late_aircraft|carrier|nas
ALB|9|medium|8|33.0|26.25|late_aircraft|carrier|nas
ALB|10|high|4|86.5|84.5|late_aircraft|carrier|security
ALB|10|low|83|-4.47|-12.84|late_aircraft|carrier|security
ALB|10|medium|12|29.67|16.17|late_aircraft|carrier|security
ALB|11|high|1|98.0|86.0|carrier|nas|late_aircraft
ALB|11|low|76|-3.88|-13.42|carrier|nas|late_aircraft
ALB|11|medium|7|32.0|13.29|carrier|nas|late_aircraft
ALB|12|high|10|205.6|195.1|late_aircraft|carrier|weather
ALB|12|low|84|-2.5|-8.08|late_aircraft|carrier|weather
ALB|12|medium|11|39.55|36.55|late_aircraft|carrier|weather
ALW|1|high|2|195.0|206.0|weather|carrier|nas
ALW|1|low|3|-6.67|5.33|weather|carrier|nas
ALW|2|low|6|-6.83|-3.0|none|none|none
ALW|3|low|6|-7.33|-7.0|none|none|none
ALW|4|high|1|78.0|74.0|late_aircraft|carrier|none
ALW|4|low|6|-7.0|-6.17|late_aircraft|carrier|none
ALW|5|low|3|-5.67|2.0|none|none|none
ALW|6|low|12|-4.42|-6.5|none|none|none
ALW|7|low|2|-5.5|2.5|carrier|none|none
ALW|8|high|1|79.0|87.0|late_aircraft|nas|none
ALW|8|low|4|-9.75|-8.5|late_aircraft|nas|none
ALW|9|low|4|-6.0|-7.5|none|none|none
AMA|1|high|6|122.0|107.17|carrier|late_aircraft|weather
AMA|1|low|26|-4.62|-5.23|carrier|late_aircraft|weather
AMA|1|medium|2|35.0|23.5|carrier|late_aircraft|weather
AMA|2|low|31|-4.9|-8.39|late_aircraft|carrier|nas
AMA|2|medium|2|39.5|52.0|late_aircraft|carrier|nas
AMA|3|low|40|-6.0|-10.25|late_aircraft|carrier|nas
AMA|3|medium|5|38.4|40.8|late_aircraft|carrier|nas
AMA|4|high|2|242.5|236.5|carrier|late_aircraft|nas
AMA|4|low|35|-3.54|-6.51|carrier|late_aircraft|nas
AMA|4|medium|5|40.2|33.4|carrier|late_aircraft|nas
AMA|5|high|4|141.25|143.5|late_aircraft|carrier|weather
AMA|5|low|35|-3.46|-8.46|late_aircraft|carrier|weather
AMA|5|medium|8|36.25|38.25|late_aircraft|carrier|weather
AMA|6|high|5|165.6|159.2|weather|nas|late_aircraft
AMA|6|low|41|-4.17|-9.71|weather|nas|late_aircraft
AMA|6|medium|3|36.67|25.33|weather|nas|late_aircraft
AMA|7|high|3|91.33|102.33|weather|nas|late_aircraft
AMA|7|low|30|-5.0|-8.23|weather|nas|late_aircraft
AMA|7|medium|7|34.14|32.57|weather|nas|late_aircraft
AMA|8|high|1|382.0|372.0|carrier|late_aircraft|weather
AMA|8|low|42|-5.38|-9.79|carrier|late_aircraft|weather
AMA|8|medium|5|28.4|28.4|carrier|late_aircraft|weather
AMA|9|high|2|93.0|96.0|late_aircraft|nas|carrier
AMA|9|low|35|-4.29|-6.14|late_aircraft|nas|carrier
AMA|9|medium|3|39.67|37.33|late_aircraft|nas|carrier
AMA|10|high|1|156.0|142.0|late_aircraft|carrier|nas
