origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABY|5|medium|6|39.0|39.83|weather|carrier|nas
ABY|6|high|4|72.0|66.25|carrier|nas|none
ABY|6|low|50|-5.74|-6.76|carrier|nas|none
ABY|6|medium|5|45.6|40.0|carrier|nas|none
ABY|7|high|13|186.23|188.0|carrier|weather|nas
ABY|7|low|39|-5.95|3.21|carrier|weather|nas
ABY|7|medium|7|29.43|27.43|carrier|weather|nas
ABY|8|high|9|266.44|261.44|weather|carrier|nas
ABY|8|low|44|-4.55|-5.86|weather|carrier|nas
ABY|8|medium|8|29.5|21.12|weather|carrier|nas
ABY|9|high|5|101.6|95.8|carrier|weather|nas
ABY|9|low|48|-6.85|-6.67|carrier|weather|nas
ABY|9|medium|6|40.17|41.5|carrier|weather|nas
ABY|10|high|1|130.0|117.0|carrier|nas|none
ABY|10|low|59|-6.73|-8.37|carrier|nas|none
ABY|10|medium|2|55.5|42.5|carrier|nas|none
ABY|11|high|3|190.0|195.0|carrier|weather|nas
ABY|11|low|69|-7.81|-7.1|carrier|weather|nas
ABY|11|medium|4|38.0|34.75|carrier|weather|nas
ABY|12|high|15|195.67|193.87|weather|carrier|late_aircraft
ABY|12|low|57|-7.19|-14.26|weather|carrier|late_aircraft
ABY|12|medium|6|26.17|22.5|weather|carrier|late_aircraft
ACK|5|high|15|160.67|151.8|late_aircraft|nas|carrier
ACK|5|low|96|-10.22|-10.72|late_aircraft|nas|carrier
ACK|5|medium|10|33.4|33.2|late_aircraft|nas|carrier
ACK|6|high|37|174.27|173.32|late_aircraft|nas|carrier
ACK|6|low|261|-8.56|-13.19|late_aircraft|nas|carrier
ACK|6|medium|33|36.27|39.27|late_aircraft|nas|carrier
ACK|7|high|51|137.04|140.27|weather|late_aircraft|carrier
ACK|7|low|338|-7.8|-11.19|weather|late_aircraft|carrier
ACK|7|medium|64|33.41|32.2|weather|late_aircraft|carrier
ACK|8|high|47|179.66|181.4|weather|late_aircraft|carrier
ACK|8|low|352|-5.74|-7.04|weather|late_aircraft|carrier
ACK|8|medium|37|35.78|32.16|weather|late_aircraft|carrier
ACK|9|high|9|238.0|101.78|late_aircraft|nas|carrier
ACK|9|low|155|-9.64|-11.55|late_aircraft|nas|carrier
ACK|9|medium|11|37.55|40.0|late_aircraft|nas|carrier
ACK|10|high|3|168.0|162.0|nas|late_aircraft|carrier
ACK|10|low|67|-9.9|-13.55|nas|late_aircraft|carrier
ACK|10|medium|4|34.5|28.5|nas|late_aircraft|carrier
ACT|1|high|10|272.8|268.8|late_aircraft|weather|carrier
ACT|1|low|63|-6.46|-8.65|late_aircraft|weather|carrier
ACT|1|medium|12|36.42|34.25|late_aircraft|weather|carrier
ACT|2|high|4|82.5|70.25|weather|late_aircraft|carrier
ACT|2|low|80|-4.51|-5.96|weather|late_aircraft|carrier
ACT|2|medium|3|31.0|36.0|weather|late_aircraft|carrier
ACT|3|high|4|75.25|69.75|late_aircraft|weather|nas
ACT|3|low|79|-3.11|-2.57|late_aircraft|weather|nas
ACT|3|medium|7|29.57|29.43|late_aircraft|weather|nas
ACT|4|high|6|171.83|179.67|weather|carrier|late_aircraft
ACT|4|low|70|-3.81|-3.81|weather|carrier|late_aircraft
ACT|4|medium|10|33.8|30.7|weather|carrier|late_aircraft
ACT|5|high|11|187.64|186.91|weather|carrier|nas
ACT|5|low|68|-6.18|-5.13|weather|carrier|nas
ACT|5|medium|7|34.29|31.14|weather|carrier|nas
ACT|6|high|17|149.94|150.88|weather|carrier|late_aircraft
ACT|6|low|57|-4.09|-3.67|weather|carrier|late_aircraft
ACT|6|medium|15|34.27|29.67|weather|carrier|late_aircraft
ACT|7|high|10|139.0|143.3|carrier|weather|late_aircraft
ACT|7|low|74|-6.15|-4.49|carrier|weather|late_aircraft
ACT|7|medium|8|45.75|41.5|carrier|weather|late_aircraft
ACT|8|high|5|103.8|107.4|late_aircraft|carrier|weather
ACT|8|low|75|-4.36|-1.88|late_aircraft|carrier|weather
ACT|8|medium|11|36.73|40.73|late_aircraft|carrier|weather
ACT|9|high|4|174.75|166.5|carrier|late_aircraft|weather
ACT|9|low|75|-4.89|-5.84|carrier|late_aircraft|weather
ACT|9|medium|11|27.09|29.64|carrier|late_aircraft|weather
ACT|10|high|18|119.56|115.0|carrier|late_aircraft|weather
ACT|10|low|61|-6.1|-7.33|carrier|late_aircraft|weather
ACT|10|medium|12|33.58|32.5|carrier|late_aircraft|weather
ACT|11|high|4|157.5|153.75|late_aircraft|carrier|nas
ACT|11|low|72|-5.07|-6.74|late_aircraft|carrier|nas
ACT|11|medium|7|39.86|36.71|late_aircraft|carrier|nas
ACT|12|high|16|135.06|136.62|weather|carrier|nas
ACT|12|low|58|-4.9|-3.4|weather|carrier|nas
ACT|12|medium|13|33.46|34.46|weather|carrier|nas
ACV|1|high|15|195.13|190.33|carrier|weather|late_aircraft
ACV|1|low|114|-5.46|-10.39|carrier|weather|late_aircraft
ACV|1|medium|16|32.88|27.31|carrier|weather|late_aircraft
ACV|2|high|14|282.79|281.07|late_aircraft|nas|carrier
ACV|2|low|96|-5.95|-5.69|late_aircraft|nas|carrier
ACV|2|medium|22|37.95|40.18|late_aircraft|nas|carrier
ACV|3|high|13|205.92|202.46|carrier|weather|late_aircraft
ACV|3|low|103|-4.86|-7.82|carrier|weather|late_aircraft
ACV|3|medium|29|32.1|31.0|carrier|weather|late_aircraft
ACV|4|high|12|146.5|145.58|carrier|late_aircraft|weather
ACV|4|low|94|-4.16|-7.59|carrier|late_aircraft|weather
ACV|4|medium|14|37.07|48.36|carrier|late_aircraft|weather
ACV|5|high|12|168.17|174.42|late_aircraft|carrier|weather
ACV|5|low|96|-3.8|-7.79|late_aircraft|carrier|weather
ACV|5|medium|13|29.15|30.23|late_aircraft|carrier|weather
ACV|6|high|9|191.11|185.78|weather|carrier|late_aircraft
ACV|6|low|95|-4.14|-7.74|weather|carrier|late_aircraft
ACV|6|medium|10|34.3|39.0|weather|carrier|late_aircraft
ACV|7|high|10|332.9|337.8|carrier|weather|late_aircraft
ACV|7|low|119|-4.97|-6.76|carrier|weather|late_aircraft
ACV|7|medium|11|35.18|38.91|carrier|weather|late_aircraft
ACV|8|high|9|184.44|191.11|weather|late_aircraft|carrier
ACV|8|low|114|-4.05|-4.04|weather|late_aircraft|carrier
ACV|8|medium|16|28.94|30.62|weather|late_aircraft|carrier
ACV|9|high|19|285.79|283.37|weather|carrier|late_aircraft
ACV|9|low|118|-5.36|-10.92|weather|carrier|late_aircraft
ACV|9|medium|8|34.88|31.38|weather|carrier|late_aircraft
ACV|10|high|20|234.05|234.8|weather|late_aircraft|carrier
